목표,밴드,R1,R2p,R3제외,실제Sharpe,실제MDD,실제CAGR,합성MDD,합성CAGR,c1_합성MDD>-60,c2_Sharpe>SOXX,c3_CAGR>현금,판정
0.2,0.25,1.0,-0.3,False,-0.0,-0.0,1.5,-0.0,2.5,True,False,False,REJECT
0.2,0.25,1.0,-0.3,True,-0.0,-0.0,1.5,-0.0,2.5,True,False,False,REJECT
0.2,0.25,1.0,-0.4,False,-0.0,-0.0,1.5,-0.0,2.5,True,False,False,REJECT
0.2,0.25,1.0,-0.4,True,-0.0,-0.0,1.5,-0.0,2.5,True,False,False,REJECT
0.2,0.25,1.0,-0.5,False,-0.0,-0.0,1.5,-0.0,2.5,True,False,False,REJECT
0.2,0.25,1.0,-0.5,True,-0.0,-0.0,1.5,-0.0,2.5,True,False,False,REJECT
0.3,0.05,0.6,-0.2,False,0.7,-29.9,14.7,-50.6,10.8,True,False,True,REJECT
0.3,0.05,0.6,-0.2,True,0.7,-29.9,14.9,-50.6,10.7,True,False,True,REJECT
0.3,0.05,0.6,-0.3,False,0.65,-31.1,14.7,-48.2,11.7,True,False,True,REJECT
0.3,0.05,0.6,-0.3,True,0.66,-31.1,14.9,-48.2,11.7,True,False,True,REJECT
0.3,0.05,0.6,-0.4,False,0.68,-34.9,15.9,-46.2,12.9,True,False,True,REJECT
0.3,0.05,0.6,-0.4,True,0.68,-34.9,15.9,-46.2,12.8,True,False,True,REJECT
0.3,0.05,0.6,-0.5,False,0.68,-34.3,16.3,-52.3,12.7,True,False,True,REJECT
0.3,0.05,0.6,-0.5,True,0.69,-34.3,16.6,-52.3,12.7,True,False,True,REJECT
0.3,0.05,0.7,-0.2,False,0.7,-29.9,14.7,-50.6,10.8,True,False,True,REJECT
0.3,0.05,0.7,-0.2,True,0.7,-29.9,14.9,-50.6,10.7,True,False,True,REJECT
0.3,0.05,0.7,-0.3,False,0.65,-31.1,14.7,-48.2,11.7,True,False,True,REJECT
0.3,0.05,0.7,-0.3,True,0.66,-31.1,14.9,-48.2,11.7,True,False,True,REJECT
0.3,0.05,0.7,-0.4,False,0.68,-34.9,15.9,-46.2,12.9,True,False,True,REJECT
0.3,0.05,0.7,-0.4,True,0.68,-34.9,15.9,-46.2,12.8,True,False,True,REJECT
0.3,0.05,0.7,-0.5,False,0.68,-34.3,16.3,-52.3,12.7,True,False,True,REJECT
0.3,0.05,0.7,-0.5,True,0.69,-34.3,16.6,-52.3,12.7,True,False,True,REJECT
0.3,0.05,0.85,-0.2,False,0.7,-29.9,14.7,-50.6,10.8,True,False,True,REJECT
0.3,0.05,0.85,-0.2,True,0.7,-29.9,14.9,-50.6,10.7,True,False,True,REJECT
0.3,0.05,0.85,-0.3,False,0.65,-31.1,14.7,-48.2,11.7,True,False,True,REJECT
0.3,0.05,0.85,-0.3,True,0.66,-31.1,14.9,-48.2,11.7,True,False,True,REJECT
0.3,0.05,0.85,-0.4,False,0.68,-34.9,15.9,-46.2,12.9,True,False,True,REJECT
0.3,0.05,0.85,-0.4,True,0.68,-34.9,15.9,-46.2,12.8,True,False,True,REJECT
0.3,0.05,0.85,-0.5,False,0.68,-34.3,16.3,-52.3,12.7,True,False,True,REJECT
0.3,0.05,0.85,-0.5,True,0.69,-34.3,16.6,-52.3,12.7,True,False,True,REJECT
0.3,0.05,1.0,-0.2,False,0.7,-29.9,14.7,-50.6,10.8,True,False,True,REJECT
0.3,0.05,1.0,-0.2,True,0.7,-29.9,14.9,-50.6,10.7,True,False,True,REJECT
0.3,0.05,1.0,-0.3,False,0.65,-31.1,14.7,-48.2,11.7,True,False,True,REJECT
0.3,0.05,1.0,-0.3,True,0.66,-31.1,14.9,-48.2,11.7,True,False,True,REJECT
0.3,0.05,1.0,-0.4,False,0.68,-34.9,15.9,-46.2,12.9,True,False,True,REJECT
0.3,0.05,1.0,-0.4,True,0.68,-34.9,15.9,-46.2,12.8,True,False,True,REJECT
0.3,0.05,1.0,-0.5,False,0.68,-34.3,16.3,-52.3,12.7,True,False,True,REJECT
0.3,0.05,1.0,-0.5,True,0.69,-34.3,16.6,-52.3,12.7,True,False,True,REJECT
0.3,0.1,0.6,-0.2,False,0.67,-30.6,15.0,-49.9,11.1,True,False,True,REJECT
0.3,0.1,0.6,-0.2,True,0.67,-30.6,15.2,-49.9,11.1,True,False,True,REJECT
0.3,0.1,0.6,-0.3,False,0.67,-34.7,15.2,-45.1,11.3,True,False,True,REJECT
0.3,0.1,0.6,-0.3,True,0.67,-34.7,15.3,-45.1,11.3,True,False,True,REJECT
0.3,0.1,0.6,-0.4,False,0.68,-35.0,15.8,-47.6,12.4,True,False,True,REJECT
0.3,0.1,0.6,-0.4,True,0.69,-35.0,15.8,-47.6,12.3,True,False,True,REJECT
0.3,0.1,0.6,-0.5,False,0.69,-35.9,16.8,-48.2,13.1,True,False,True,REJECT
0.3,0.1,0.6,-0.5,True,0.7,-35.9,17.0,-48.2,13.0,True,False,True,REJECT
0.3,0.1,0.7,-0.2,False,0.67,-30.6,15.0,-49.9,11.1,True,False,True,REJECT
0.3,0.1,0.7,-0.2,True,0.67,-30.6,15.2,-49.9,11.1,True,False,True,REJECT
0.3,0.1,0.7,-0.3,False,0.67,-34.7,15.2,-45.1,11.3,True,False,True,REJECT
0.3,0.1,0.7,-0.3,True,0.67,-34.7,15.3,-45.1,11.3,True,False,True,REJECT
0.3,0.1,0.7,-0.4,False,0.68,-35.0,15.8,-47.6,12.4,True,False,True,REJECT
0.3,0.1,0.7,-0.4,True,0.69,-35.0,15.8,-47.6,12.3,True,False,True,REJECT
0.3,0.1,0.7,-0.5,False,0.69,-35.9,16.8,-48.2,13.1,True,False,True,REJECT
0.3,0.1,0.7,-0.5,True,0.7,-35.9,17.0,-48.2,13.0,True,False,True,REJECT
0.3,0.1,0.85,-0.2,False,0.67,-30.6,15.0,-49.9,11.1,True,False,True,REJECT
0.3,0.1,0.85,-0.2,True,0.67,-30.6,15.2,-49.9,11.1,True,False,True,REJECT
0.3,0.1,0.85,-0.3,False,0.67,-34.7,15.2,-45.1,11.3,True,False,True,REJECT
0.3,0.1,0.85,-0.3,True,0.67,-34.7,15.3,-45.1,11.3,True,False,True,REJECT
0.3,0.1,0.85,-0.4,False,0.68,-35.0,15.8,-47.6,12.4,True,False,True,REJECT
0.3,0.1,0.85,-0.4,True,0.69,-35.0,15.8,-47.6,12.3,True,False,True,REJECT
0.3,0.1,0.85,-0.5,False,0.69,-35.9,16.8,-48.2,13.1,True,False,True,REJECT
0.3,0.1,0.85,-0.5,True,0.7,-35.9,17.0,-48.2,13.0,True,False,True,REJECT
0.3,0.1,1.0,-0.2,False,0.67,-30.6,15.0,-49.9,11.1,True,False,True,REJECT
0.3,0.1,1.0,-0.2,True,0.67,-30.6,15.2,-49.9,11.1,True,False,True,REJECT
0.3,0.1,1.0,-0.3,False,0.67,-34.7,15.2,-45.1,11.3,True,False,True,REJECT
0.3,0.1,1.0,-0.3,True,0.67,-34.7,15.3,-45.1,11.3,True,False,True,REJECT
0.3,0.1,1.0,-0.4,False,0.68,-35.0,15.8,-47.6,12.4,True,False,True,REJECT
0.3,0.1,1.0,-0.4,True,0.69,-35.0,15.8,-47.6,12.3,True,False,True,REJECT
0.3,0.1,1.0,-0.5,False,0.69,-35.9,16.8,-48.2,13.1,True,False,True,REJECT
0.3,0.1,1.0,-0.5,True,0.7,-35.9,17.0,-48.2,13.0,True,False,True,REJECT
0.3,0.15,0.6,-0.2,False,0.67,-32.8,15.4,-55.8,11.2,True,False,True,REJECT
0.3,0.15,0.6,-0.2,True,0.67,-32.8,15.4,-62.1,9.7,False,False,True,REJECT
0.3,0.15,0.6,-0.3,False,0.65,-37.6,16.0,-57.0,11.9,True,False,True,REJECT
0.3,0.15,0.6,-0.3,True,0.66,-37.6,16.2,-61.7,10.5,False,False,True,REJECT
0.3,0.15,0.6,-0.4,False,0.72,-36.0,17.6,-43.4,13.6,True,False,True,REJECT
0.3,0.15,0.6,-0.4,True,0.73,-35.9,17.6,-43.4,13.0,True,False,True,REJECT
0.3,0.15,0.6,-0.5,False,0.73,-38.2,17.6,-52.5,13.4,True,False,True,REJECT
0.3,0.15,0.6,-0.5,True,0.74,-33.2,18.1,-52.5,12.7,True,False,True,REJECT
0.3,0.15,0.7,-0.2,False,0.67,-32.8,15.4,-55.8,11.2,True,False,True,REJECT
0.3,0.15,0.7,-0.2,True,0.67,-32.8,15.4,-62.1,9.7,False,False,True,REJECT
0.3,0.15,0.7,-0.3,False,0.65,-37.6,16.0,-57.0,11.9,True,False,True,REJECT
0.3,0.15,0.7,-0.3,True,0.66,-37.6,16.2,-61.7,10.5,False,False,True,REJECT
0.3,0.15,0.7,-0.4,False,0.72,-36.0,17.6,-43.4,13.6,True,False,True,REJECT
0.3,0.15,0.7,-0.4,True,0.73,-35.9,17.6,-43.4,13.0,True,False,True,REJECT
0.3,0.15,0.7,-0.5,False,0.73,-38.2,17.6,-52.5,13.4,True,False,True,REJECT
0.3,0.15,0.7,-0.5,True,0.74,-33.2,18.1,-52.5,12.7,True,False,True,REJECT
0.3,0.15,0.85,-0.2,False,0.67,-32.8,15.4,-55.8,11.2,True,False,True,REJECT
